Disease,Symptoms,Medicine,Brand Name,Dosage,Price (INR)
Acne,"Pain, Sore throat, Sweating, Dizziness",Loratadine,Ciplox,500mg,20
Hepatitis,"Dizziness, Cough, Chest tightness, Vomiting",Paracetamol,Ciplox,250mg,20
Hepatitis,"Dizziness, Cough, Chest tightness, Vomiting",Ibuprofen,Alerid,200mg,75
Insomnia,"Cough, Shortness of breath, Dizziness, Chest tightness",Azithromycin,Brufen,100mg,30
Insomnia,"Cough, Shortness of breath, Dizziness, Chest tightness",Loratadine,Omez,5mg,50
Epilepsy,"Pain, Shortness of breath, Cough, Nausea",Cetirizine,Claritine,1g,20
Epilepsy,"Pain, Shortness of breath, Cough, Nausea",Loratadine,Crocin,250mg,150
COVID-19,"Chest tightness, Chills, Sweating, Shortness of breath",Ibuprofen,Crocin,5mg,100
COVID-19,"Chest tightness, Chills, Sweating, Shortness of breath",Omeprazole,Claritine,250mg,50
Insomnia,"Fever, Rash, Joint pain, Sore throat",Amoxicillin,Azithral,10mg,20
Insomnia,"Fever, Rash, Joint pain, Sore throat",Cetirizine,Augmentin,250mg,150
Ear Infection,"Joint pain, Dizziness, Shortness of breath, Fever",Cetirizine,Ciplox,250mg,150
Ear Infection,"Joint pain, Dizziness, Shortness of breath, Fever",Loratadine,Alerid,500mg,20
Cholera,"Pain, Fever, Chills, Vomiting",Metronidazole,Azithral,5mg,20
Cholera,"Pain, Fever, Chills, Vomiting",Omeprazole,Claritine,10mg,100
HIV,"Sore throat, Cough, Chills, Itching",Omeprazole,Azithral,10mg,200
HIV,"Sore throat, Cough, Chills, Itching",Cetirizine,Claritine,5mg,75
Eye Infection,"Sore throat, Itching, Joint pain, Cough",Ibuprofen,Flagyl,200mg,75
Eye Infection,"Sore throat, Itching, Joint pain, Cough",Cetirizine,Augmentin,100mg,20
Alzheimer's,"Pain, Fatigue, Chills, Itching",Omeprazole,Ciplox,100mg,150
Alzheimer's,"Pain, Fatigue, Chills, Itching",Metronidazole,Crocin,5mg,20
Insomnia,"Chest tightness, Shortness of breath, Joint pain, Fatigue",Loratadine,Omez,100mg,150
Insomnia,"Chest tightness, Shortness of breath, Joint pain, Fatigue",Ranitidine,Augmentin,10mg,20
Indigestion,"Weight loss, Nausea, Sweating, Pain",Metronidazole,Crocin,5mg,150
Indigestion,"Weight loss, Nausea, Sweating, Pain",Ibuprofen,Brufen,500mg,75
Chickenpox,"Dizziness, Chest tightness, Itching, Shortness of breath",Metronidazole,Ciplox,1g,100
Chickenpox,"Dizziness, Chest tightness, Itching, Shortness of breath",Cetirizine,Omez,500mg,75
Diarrhea,"Headache, Sore throat, Joint pain, Rash",Metronidazole,Alerid,500mg,75
Diarrhea,"Headache, Sore throat, Joint pain, Rash",Azithromycin,Flagyl,200mg,30
Chickenpox,"Rash, Sweating, Chest tightness, Fever",Paracetamol,Zinetac,250mg,50
Chickenpox,"Rash, Sweating, Chest tightness, Fever",Ranitidine,Augmentin,100mg,75
Chickenpox,"Sore throat, Nausea, Fever, Joint pain",Amoxicillin,Brufen,500mg,20
Chickenpox,"Sore throat, Nausea, Fever, Joint pain",Ibuprofen,Augmentin,1g,30
Alzheimer's,"Sweating, Vomiting, Chest tightness, Dizziness",Paracetamol,Azithral,250mg,75
Alzheimer's,"Sweating, Vomiting, Chest tightness, Dizziness",Azithromycin,Zinetac,1g,150
Gout,"Sore throat, Chills, Weight loss, Nausea",Cetirizine,Claritine,1g,100
Gout,"Sore throat, Chills, Weight loss, Nausea",Metronidazole,Zinetac,250mg,50
Bronchitis,"Dizziness, Itching, Weight loss, Chills",Metronidazole,Brufen,5mg,50
Bronchitis,"Dizziness, Itching, Weight loss, Chills",Azithromycin,Azithral,10mg,150
Gout,"Headache, Pain, Dizziness, Sweating",Ibuprofen,Zinetac,250mg,50
Gout,"Headache, Pain, Dizziness, Sweating",Azithromycin,Azithral,200mg,75
Anxiety,"Vomiting, Chest tightness, Weight loss, Headache",Loratadine,Crocin,5mg,200
Anxiety,"Vomiting, Chest tightness, Weight loss, Headache",Ibuprofen,Augmentin,250mg,20
Acne,"Joint pain, Rash, Weight loss, Chest tightness",Loratadine,Brufen,100mg,150
Acne,"Joint pain, Rash, Weight loss, Chest tightness",Cetirizine,Omez,500mg,100
Indigestion,"Joint pain, Sweating, Fatigue, Rash",Paracetamol,Crocin,10mg,30
Indigestion,"Joint pain, Sweating, Fatigue, Rash",Metronidazole,Omez,1g,150
Glaucoma,"Vomiting, Weight loss, Itching, Shortness of breath",Omeprazole,Crocin,1g,200
Glaucoma,"Vomiting, Weight loss, Itching, Shortness of breath",Loratadine,Brufen,500mg,75
Gastritis,"Rash, Nausea, Itching, Cough",Ranitidine,Azithral,100mg,30
Gastritis,"Rash, Nausea, Itching, Cough",Omeprazole,Ciplox,1g,150
COVID-19,"Fatigue, Chills, Sweating, Headache",Ibuprofen,Zinetac,250mg,20
COVID-19,"Fatigue, Chills, Sweating, Headache",Azithromycin,Ciplox,5mg,75
Insomnia,"Sweating, Rash, Sore throat, Pain",Azithromycin,Ciplox,10mg,150
Insomnia,"Sweating, Rash, Sore throat, Pain",Ciprofloxacin,Omez,1g,100
Gout,"Sore throat, Chills, Joint pain, Fever",Cetirizine,Augmentin,5mg,150
Gout,"Sore throat, Chills, Joint pain, Fever",Omeprazole,Alerid,1g,50
Cholera,"Shortness of breath, Joint pain, Vomiting, Chills",Ciprofloxacin,Zinetac,500mg,20
Cholera,"Shortness of breath, Joint pain, Vomiting, Chills",Azithromycin,Claritine,5mg,75
Glaucoma,"Joint pain, Shortness of breath, Fatigue, Weight loss",Azithromycin,Brufen,100mg,50
Glaucoma,"Joint pain, Shortness of breath, Fatigue, Weight loss",Omeprazole,Flagyl,200mg,150
Chickenpox,"Pain, Fever, Dizziness, Chills",Ibuprofen,Brufen,5mg,50
Chickenpox,"Pain, Fever, Dizziness, Chills",Metronidazole,Crocin,250mg,30
Alzheimer's,"Weight loss, Shortness of breath, Fatigue, Vomiting",Ranitidine,Brufen,10mg,150
Alzheimer's,"Weight loss, Shortness of breath, Fatigue, Vomiting",Ibuprofen,Zinetac,250mg,100
Allergy,"Cough, Fatigue, Dizziness, Headache",Loratadine,Flagyl,1g,30
Allergy,"Cough, Fatigue, Dizziness, Headache",Ciprofloxacin,Brufen,200mg,75
Gout,"Joint pain, Fever, Nausea, Itching",Paracetamol,Claritine,100mg,75
Gout,"Joint pain, Fever, Nausea, Itching",Amoxicillin,Crocin,5mg,50
Common Cold,"Joint pain, Fever, Nausea, Cough",Paracetamol,Azithral,1g,30
Common Cold,"Joint pain, Fever, Nausea, Cough",Azithromycin,Crocin,200mg,200
Indigestion,"Chills, Headache, Fatigue, Shortness of breath",Cetirizine,Alerid,200mg,75
Indigestion,"Chills, Headache, Fatigue, Shortness of breath",Omeprazole,Zinetac,1g,200
Alzheimer's,"Joint pain, Chills, Headache, Shortness of breath",Omeprazole,Ciplox,250mg,75
Alzheimer's,"Joint pain, Chills, Headache, Shortness of breath",Amoxicillin,Flagyl,100mg,200
Anxiety,"Weight loss, Chest tightness, Rash, Vomiting",Loratadine,Crocin,200mg,30
Anxiety,"Weight loss, Chest tightness, Rash, Vomiting",Ciprofloxacin,Azithral,5mg,75
Chickenpox,"Dizziness, Sweating, Chest tightness, Fatigue",Amoxicillin,Augmentin,500mg,200
Chickenpox,"Dizziness, Sweating, Chest tightness, Fatigue",Metronidazole,Ciplox,1g,150
Alzheimer's,"Fatigue, Pain, Joint pain, Chills",Ranitidine,Omez,250mg,50
Alzheimer's,"Fatigue, Pain, Joint pain, Chills",Loratadine,Flagyl,100mg,100
Acne,"Rash, Headache, Fever, Weight loss",Metronidazole,Alerid,5mg,150
Acne,"Rash, Headache, Fever, Weight loss",Loratadine,Claritine,1g,75
Indigestion,"Headache, Chills, Sweating, Dizziness",Azithromycin,Alerid,500mg,200
Indigestion,"Headache, Chills, Sweating, Dizziness",Loratadine,Augmentin,250mg,20
Common Cold,"Chest tightness, Itching, Fever, Rash",Paracetamol,Ciplox,100mg,75
Common Cold,"Chest tightness, Itching, Fever, Rash",Ranitidine,Augmentin,5mg,20
Alzheimer's,"Joint pain, Headache, Rash, Cough",Metronidazole,Ciplox,1g,100
Alzheimer's,"Joint pain, Headache, Rash, Cough",Amoxicillin,Omez,10mg,50
HIV,"Cough, Weight loss, Vomiting, Dizziness",Ibuprofen,Augmentin,200mg,20
HIV,"Cough, Weight loss, Vomiting, Dizziness",Metronidazole,Crocin,250mg,75
Glaucoma,"Headache, Itching, Rash, Joint pain",Ranitidine,Omez,200mg,100
Glaucoma,"Headache, Itching, Rash, Joint pain",Omeprazole,Ciplox,5mg,150
Constipation,"Weight loss, Dizziness, Nausea, Rash",Ciprofloxacin,Augmentin,5mg,100
Constipation,"Weight loss, Dizziness, Nausea, Rash",Amoxicillin,Flagyl,1g,20
Acne,"Fever, Vomiting, Joint pain, Chest tightness",Cetirizine,Alerid,200mg,20
Acne,"Fever, Vomiting, Joint pain, Chest tightness",Amoxicillin,Flagyl,250mg,75
Gastritis,"Itching, Nausea, Cough, Rash",Ranitidine,Brufen,10mg,150
Gastritis,"Itching, Nausea, Cough, Rash",Azithromycin,Azithral,100mg,200
Chickenpox,"Dizziness, Fever, Shortness of breath, Pain",Loratadine,Ciplox,500mg,50
Chickenpox,"Dizziness, Fever, Shortness of breath, Pain",Paracetamol,Zinetac,10mg,200
HIV,"Vomiting, Shortness of breath, Headache, Rash",Ranitidine,Omez,200mg,20
HIV,"Vomiting, Shortness of breath, Headache, Rash",Paracetamol,Augmentin,5mg,75
Anxiety,"Weight loss, Headache, Fever, Nausea",Cetirizine,Brufen,5mg,200
Anxiety,"Weight loss, Headache, Fever, Nausea",Amoxicillin,Omez,100mg,75
Anxiety,"Vomiting, Nausea, Chest tightness, Fever",Paracetamol,Brufen,5mg,150
Anxiety,"Vomiting, Nausea, Chest tightness, Fever",Metronidazole,Omez,500mg,75
Common Cold,"Nausea, Joint pain, Itching, Cough",Ibuprofen,Augmentin,500mg,150
Common Cold,"Nausea, Joint pain, Itching, Cough",Amoxicillin,Brufen,200mg,20
Cholera,"Sweating, Nausea, Itching, Cough",Paracetamol,Omez,250mg,30
Cholera,"Sweating, Nausea, Itching, Cough",Ciprofloxacin,Alerid,100mg,100
Eye Infection,"Itching, Fever, Sweating, Vomiting",Omeprazole,Brufen,5mg,75
Eye Infection,"Itching, Fever, Sweating, Vomiting",Azithromycin,Omez,500mg,30
Diarrhea,"Joint pain, Sore throat, Rash, Pain",Paracetamol,Flagyl,1g,200
Diarrhea,"Joint pain, Sore throat, Rash, Pain",Ranitidine,Brufen,5mg,20
COVID-19,"Cough, Itching, Fever, Pain",Loratadine,Alerid,200mg,150
COVID-19,"Cough, Itching, Fever, Pain",Cetirizine,Omez,250mg,30
Allergy,"Chest tightness, Nausea, Sore throat, Vomiting",Azithromycin,Zinetac,500mg,30
Allergy,"Chest tightness, Nausea, Sore throat, Vomiting",Ibuprofen,Crocin,5mg,75
Alzheimer's,"Chills, Cough, Nausea, Joint pain",Ibuprofen,Azithral,250mg,20
Alzheimer's,"Chills, Cough, Nausea, Joint pain",Ranitidine,Alerid,5mg,150
Anxiety,"Itching, Weight loss, Fatigue, Chills",Ciprofloxacin,Azithral,200mg,50
Anxiety,"Itching, Weight loss, Fatigue, Chills",Cetirizine,Alerid,100mg,30
Epilepsy,"Chest tightness, Joint pain, Sore throat, Vomiting",Cetirizine,Omez,250mg,75
Epilepsy,"Chest tightness, Joint pain, Sore throat, Vomiting",Amoxicillin,Augmentin,1g,200
Back Pain,"Sweating, Fever, Nausea, Sore throat",Azithromycin,Ciplox,5mg,50
Back Pain,"Sweating, Fever, Nausea, Sore throat",Cetirizine,Brufen,500mg,20
Gastritis,"Chest tightness, Sore throat, Headache, Fever",Metronidazole,Crocin,1g,150
Gastritis,"Chest tightness, Sore throat, Headache, Fever",Amoxicillin,Claritine,100mg,100
Diarrhea,"Fatigue, Nausea, Sore throat, Itching",Ranitidine,Brufen,10mg,75
Diarrhea,"Fatigue, Nausea, Sore throat, Itching",Loratadine,Omez,500mg,200
Epilepsy,"Itching, Rash, Chills, Chest tightness",Metronidazole,Omez,5mg,200
Epilepsy,"Itching, Rash, Chills, Chest tightness",Amoxicillin,Augmentin,100mg,150
Common Cold,"Shortness of breath, Fatigue, Chills, Chest tightness",Amoxicillin,Brufen,200mg,150
Common Cold,"Shortness of breath, Fatigue, Chills, Chest tightness",Azithromycin,Alerid,500mg,20
Constipation,"Dizziness, Chest tightness, Itching, Chills",Cetirizine,Ciplox,5mg,75
Constipation,"Dizziness, Chest tightness, Itching, Chills",Amoxicillin,Brufen,500mg,50
Indigestion,"Nausea, Chest tightness, Rash, Chills",Omeprazole,Crocin,5mg,75
Indigestion,"Nausea, Chest tightness, Rash, Chills",Amoxicillin,Alerid,500mg,150
Cholera,"Sweating, Shortness of breath, Vomiting, Joint pain",Metronidazole,Brufen,5mg,75
Cholera,"Sweating, Shortness of breath, Vomiting, Joint pain",Paracetamol,Flagyl,200mg,20
Hepatitis,"Pain, Sweating, Chills, Fatigue",Ranitidine,Ciplox,200mg,150
Hepatitis,"Pain, Sweating, Chills, Fatigue",Amoxicillin,Claritine,500mg,20
Indigestion,"Itching, Sore throat, Shortness of breath, Headache",Amoxicillin,Zinetac,100mg,75
Indigestion,"Itching, Sore throat, Shortness of breath, Headache",Loratadine,Claritine,500mg,20
Back Pain,"Itching, Chills, Dizziness, Chest tightness",Cetirizine,Omez,200mg,20
Back Pain,"Itching, Chills, Dizziness, Chest tightness",Loratadine,Zinetac,500mg,75
Gout,"Dizziness, Fatigue, Chills, Headache",Paracetamol,Omez,1g,75
Gout,"Dizziness, Fatigue, Chills, Headache",Amoxicillin,Alerid,200mg,100
Indigestion,"Weight loss, Shortness of breath, Chills, Sweating",Loratadine,Omez,5mg,30
Indigestion,"Weight loss, Shortness of breath, Chills, Sweating",Cetirizine,Ciplox,500mg,75
Eye Infection,"Fever, Itching, Dizziness, Sore throat",Ibuprofen,Crocin,5mg,75
Eye Infection,"Fever, Itching, Dizziness, Sore throat",Paracetamol,Brufen,100mg,20
Diarrhea,"Vomiting, Headache, Shortness of breath, Cough",Ibuprofen,Brufen,200mg,100
Diarrhea,"Vomiting, Headache, Shortness of breath, Cough",Paracetamol,Ciplox,1g,30
Indigestion,"Chills, Fatigue, Sweating, Dizziness",Azithromycin,Flagyl,5mg,50
Indigestion,"Chills, Fatigue, Sweating, Dizziness",Ranitidine,Alerid,1g,30
Back Pain,"Dizziness, Cough, Chest tightness, Joint pain",Omeprazole,Omez,5mg,30
Back Pain,"Dizziness, Cough, Chest tightness, Joint pain",Amoxicillin,Zinetac,100mg,20
Diarrhea,"Fever, Joint pain, Sweating, Nausea",Ciprofloxacin,Brufen,100mg,20
Diarrhea,"Fever, Joint pain, Sweating, Nausea",Omeprazole,Zinetac,5mg,100
Dengue,"Dizziness, Pain, Weight loss, Fever",Amoxicillin,Crocin,500mg,50
Dengue,"Dizziness, Pain, Weight loss, Fever",Metronidazole,Augmentin,10mg,100
Gout,"Weight loss, Fever, Headache, Fatigue",Cetirizine,Crocin,250mg,50
Gout,"Weight loss, Fever, Headache, Fatigue",Ranitidine,Azithral,10mg,200
Back Pain,"Weight loss, Dizziness, Fever, Sore throat",Ranitidine,Ciplox,1g,100
Back Pain,"Weight loss, Dizziness, Fever, Sore throat",Ibuprofen,Azithral,5mg,20
Depression,"Sore throat, Itching, Dizziness, Vomiting",Metronidazole,Crocin,10mg,50
Depression,"Sore throat, Itching, Dizziness, Vomiting",Paracetamol,Claritine,1g,150
Cholera,"Fever, Dizziness, Itching, Sore throat",Loratadine,Zinetac,1g,20
Cholera,"Fever, Dizziness, Itching, Sore throat",Azithromycin,Ciplox,200mg,30
HIV,"Cough, Sore throat, Chills, Headache",Metronidazole,Alerid,1g,150
HIV,"Cough, Sore throat, Chills, Headache",Paracetamol,Augmentin,5mg,200
Ear Infection,"Vomiting, Weight loss, Fever, Headache",Ibuprofen,Azithral,100mg,200
Ear Infection,"Vomiting, Weight loss, Fever, Headache",Metronidazole,Augmentin,1g,100
Gastritis,"Itching, Nausea, Joint pain, Sore throat",Paracetamol,Augmentin,200mg,50
Gastritis,"Itching, Nausea, Joint pain, Sore throat",Metronidazole,Crocin,500mg,20
Anxiety,"Nausea, Vomiting, Cough, Sweating",Azithromycin,Ciplox,1g,150
Anxiety,"Nausea, Vomiting, Cough, Sweating",Ibuprofen,Alerid,200mg,50
Allergy,"Fatigue, Sweating, Itching, Shortness of breath",Ciprofloxacin,Omez,100mg,30
Allergy,"Fatigue, Sweating, Itching, Shortness of breath",Ranitidine,Flagyl,1g,200
Hepatitis,"Chills, Joint pain, Nausea, Fatigue",Metronidazole,Alerid,500mg,150
Hepatitis,"Chills, Joint pain, Nausea, Fatigue",Cetirizine,Flagyl,1g,200
COVID-19,"Fatigue, Vomiting, Pain, Headache",Metronidazole,Crocin,500mg,75
COVID-19,"Fatigue, Vomiting, Pain, Headache",Ibuprofen,Flagyl,10mg,100
Eye Infection,"Cough, Chest tightness, Fatigue, Shortness of breath",Ciprofloxacin,Ciplox,100mg,50
Eye Infection,"Cough, Chest tightness, Fatigue, Shortness of breath",Metronidazole,Zinetac,250mg,100
Diarrhea,"Headache, Cough, Chest tightness, Sweating",Ibuprofen,Crocin,1g,75
Diarrhea,"Headache, Cough, Chest tightness, Sweating",Ciprofloxacin,Claritine,500mg,20
Chickenpox,"Shortness of breath, Rash, Joint pain, Headache",Paracetamol,Brufen,200mg,50
Chickenpox,"Shortness of breath, Rash, Joint pain, Headache",Metronidazole,Augmentin,5mg,20
Chickenpox,"Chest tightness, Headache, Joint pain, Sweating",Ranitidine,Ciplox,5mg,150
Chickenpox,"Chest tightness, Headache, Joint pain, Sweating",Ibuprofen,Alerid,200mg,30
Back Pain,"Fatigue, Cough, Headache, Pain",Loratadine,Claritine,200mg,150
Back Pain,"Fatigue, Cough, Headache, Pain",Azithromycin,Alerid,250mg,100
Insomnia,"Itching, Cough, Sweating, Rash",Ibuprofen,Flagyl,10mg,100
Insomnia,"Itching, Cough, Sweating, Rash",Omeprazole,Crocin,100mg,50
Alzheimer's,"Rash, Sore throat, Chest tightness, Dizziness",Ranitidine,Claritine,10mg,200
Alzheimer's,"Rash, Sore throat, Chest tightness, Dizziness",Omeprazole,Zinetac,200mg,50
Allergy,"Headache, Itching, Chest tightness, Rash",Metronidazole,Claritine,250mg,30
Allergy,"Headache, Itching, Chest tightness, Rash",Amoxicillin,Augmentin,1g,200
Ear Infection,"Shortness of breath, Chills, Fever, Sore throat",Ibuprofen,Alerid,250mg,150
Ear Infection,"Shortness of breath, Chills, Fever, Sore throat",Azithromycin,Omez,100mg,200
Back Pain,"Chills, Vomiting, Nausea, Cough",Ibuprofen,Claritine,250mg,75
Back Pain,"Chills, Vomiting, Nausea, Cough",Metronidazole,Ciplox,10mg,20
Cholera,"Pain, Chills, Nausea, Rash",Paracetamol,Claritine,100mg,100
Cholera,"Pain, Chills, Nausea, Rash",Metronidazole,Brufen,200mg,150
Depression,"Vomiting, Chills, Shortness of breath, Sweating",Ibuprofen,Flagyl,10mg,20
Depression,"Vomiting, Chills, Shortness of breath, Sweating",Paracetamol,Azithral,1g,50
Anxiety,"Rash, Chills, Fever, Sore throat",Amoxicillin,Flagyl,250mg,150
Anxiety,"Rash, Chills, Fever, Sore throat",Ciprofloxacin,Omez,500mg,50
Bronchitis,"Cough, Pain, Sore throat, Joint pain",Metronidazole,Augmentin,250mg,100
Bronchitis,"Cough, Pain, Sore throat, Joint pain",Loratadine,Flagyl,100mg,30
Glaucoma,"Nausea, Vomiting, Rash, Chills",Ibuprofen,Brufen,1g,100
Glaucoma,"Nausea, Vomiting, Rash, Chills",Paracetamol,Alerid,10mg,75
Anxiety,"Itching, Pain, Chills, Vomiting",Amoxicillin,Crocin,1g,100
Anxiety,"Itching, Pain, Chills, Vomiting",Omeprazole,Augmentin,10mg,50
Chickenpox,"Dizziness, Sweating, Itching, Vomiting",Ibuprofen,Brufen,100mg,50
Chickenpox,"Dizziness, Sweating, Itching, Vomiting",Azithromycin,Augmentin,10mg,75
Ear Infection,"Weight loss, Pain, Fever, Vomiting",Paracetamol,Zinetac,200mg,50
Ear Infection,"Weight loss, Pain, Fever, Vomiting",Amoxicillin,Ciplox,10mg,30
COVID-19,"Sore throat, Shortness of breath, Weight loss, Dizziness",Loratadine,Omez,10mg,50
COVID-19,"Sore throat, Shortness of breath, Weight loss, Dizziness",Ranitidine,Claritine,200mg,20
Gout,"Fatigue, Joint pain, Chest tightness, Sore throat",Ibuprofen,Crocin,100mg,150
Gout,"Fatigue, Joint pain, Chest tightness, Sore throat",Ciprofloxacin,Ciplox,250mg,30
Alzheimer's,"Sore throat, Cough, Vomiting, Shortness of breath",Paracetamol,Flagyl,100mg,75
Alzheimer's,"Sore throat, Cough, Vomiting, Shortness of breath",Azithromycin,Ciplox,500mg,20
HIV,"Nausea, Vomiting, Pain, Headache",Ranitidine,Flagyl,250mg,100
HIV,"Nausea, Vomiting, Pain, Headache",Ciprofloxacin,Brufen,1g,20
Indigestion,"Cough, Nausea, Weight loss, Headache",Ciprofloxacin,Claritine,250mg,30
Indigestion,"Cough, Nausea, Weight loss, Headache",Ranitidine,Ciplox,5mg,50
Acne,"Fatigue, Chills, Headache, Shortness of breath",Ibuprofen,Flagyl,5mg,75
Acne,"Fatigue, Chills, Headache, Shortness of breath",Ranitidine,Alerid,250mg,100
Glaucoma,"Sore throat, Weight loss, Itching, Shortness of breath",Paracetamol,Brufen,5mg,200
Glaucoma,"Sore throat, Weight loss, Itching, Shortness of breath",Ibuprofen,Zinetac,200mg,50
Epilepsy,"Chest tightness, Rash, Dizziness, Headache",Loratadine,Flagyl,5mg,200
Epilepsy,"Chest tightness, Rash, Dizziness, Headache",Azithromycin,Azithral,200mg,75
Acne,"Shortness of breath, Itching, Nausea, Chest tightness",Azithromycin,Azithral,200mg,200
Acne,"Shortness of breath, Itching, Nausea, Chest tightness",Ibuprofen,Zinetac,1g,150
Bronchitis,"Headache, Weight loss, Sweating, Vomiting",Cetirizine,Augmentin,200mg,150
Bronchitis,"Headache, Weight loss, Sweating, Vomiting",Ranitidine,Ciplox,5mg,30
Ear Infection,"Weight loss, Itching, Chest tightness, Vomiting",Azithromycin,Omez,5mg,200
Ear Infection,"Weight loss, Itching, Chest tightness, Vomiting",Paracetamol,Azithral,250mg,100
Gout,"Sore throat, Joint pain, Chills, Weight loss",Paracetamol,Augmentin,10mg,100
Gout,"Sore throat, Joint pain, Chills, Weight loss",Cetirizine,Ciplox,250mg,200
Indigestion,"Fatigue, Sweating, Nausea, Vomiting",Loratadine,Ciplox,200mg,50
Indigestion,"Fatigue, Sweating, Nausea, Vomiting",Amoxicillin,Zinetac,1g,75
Glaucoma,"Dizziness, Chest tightness, Fever, Sore throat",Cetirizine,Flagyl,100mg,75
Glaucoma,"Dizziness, Chest tightness, Fever, Sore throat",Amoxicillin,Augmentin,1g,100
Gout,"Shortness of breath, Sore throat, Cough, Dizziness",Amoxicillin,Brufen,1g,75
Gout,"Shortness of breath, Sore throat, Cough, Dizziness",Ibuprofen,Augmentin,100mg,200
Alzheimer's,"Weight loss, Headache, Vomiting, Sore throat",Ciprofloxacin,Zinetac,250mg,50
Alzheimer's,"Weight loss, Headache, Vomiting, Sore throat",Cetirizine,Brufen,10mg,30
Epilepsy,"Itching, Dizziness, Chills, Pain",Ibuprofen,Azithral,1g,30
Epilepsy,"Itching, Dizziness, Chills, Pain",Amoxicillin,Ciplox,100mg,75
Gastritis,"Fever, Chest tightness, Headache, Shortness of breath",Paracetamol,Zinetac,1g,30
Gastritis,"Fever, Chest tightness, Headache, Shortness of breath",Metronidazole,Alerid,5mg,150
Acne,"Chills, Nausea, Fever, Fatigue",Metronidazole,Augmentin,5mg,20
Acne,"Chills, Nausea, Fever, Fatigue",Azithromycin,Zinetac,500mg,75
Ear Infection,"Headache, Vomiting, Sore throat, Weight loss",Cetirizine,Alerid,10mg,20
Ear Infection,"Headache, Vomiting, Sore throat, Weight loss",Metronidazole,Brufen,100mg,30
Cholera,"Weight loss, Vomiting, Pain, Chills",Loratadine,Augmentin,100mg,200
Cholera,"Weight loss, Vomiting, Pain, Chills",Paracetamol,Omez,500mg,50
Common Cold,"Chest tightness, Headache, Rash, Sweating",Cetirizine,Augmentin,200mg,150
Common Cold,"Chest tightness, Headache, Rash, Sweating",Metronidazole,Azithral,1g,20
Ear Infection,"Nausea, Fever, Chest tightness, Rash",Loratadine,Claritine,200mg,20
Ear Infection,"Nausea, Fever, Chest tightness, Rash",Cetirizine,Alerid,500mg,200
Glaucoma,"Chills, Dizziness, Cough, Chest tightness",Paracetamol,Ciplox,200mg,75
Glaucoma,"Chills, Dizziness, Cough, Chest tightness",Metronidazole,Crocin,100mg,20
Insomnia,"Weight loss, Nausea, Fever, Sweating",Paracetamol,Azithral,10mg,20
Insomnia,"Weight loss, Nausea, Fever, Sweating",Ciprofloxacin,Alerid,5mg,30
Allergy,"Chills, Chest tightness, Joint pain, Weight loss",Ibuprofen,Omez,250mg,50
Allergy,"Chills, Chest tightness, Joint pain, Weight loss",Amoxicillin,Claritine,100mg,30
Bronchitis,"Nausea, Sore throat, Joint pain, Rash",Ciprofloxacin,Azithral,100mg,150
Bronchitis,"Nausea, Sore throat, Joint pain, Rash",Metronidazole,Flagyl,5mg,20
Constipation,"Fatigue, Joint pain, Nausea, Rash",Ranitidine,Augmentin,1g,50
Constipation,"Fatigue, Joint pain, Nausea, Rash",Paracetamol,Alerid,5mg,30
Ear Infection,"Rash, Shortness of breath, Dizziness, Sore throat",Azithromycin,Augmentin,1g,50
Ear Infection,"Rash, Shortness of breath, Dizziness, Sore throat",Cetirizine,Crocin,10mg,20
Gout,"Shortness of breath, Headache, Sweating, Dizziness",Ciprofloxacin,Augmentin,5mg,50
Gout,"Shortness of breath, Headache, Sweating, Dizziness",Amoxicillin,Claritine,500mg,20
Alzheimer's,"Chest tightness, Fever, Dizziness, Pain",Cetirizine,Brufen,10mg,100
Alzheimer's,"Chest tightness, Fever, Dizziness, Pain",Omeprazole,Crocin,100mg,200
Allergy,"Joint pain, Rash, Dizziness, Vomiting",Amoxicillin,Brufen,200mg,200
Allergy,"Joint pain, Rash, Dizziness, Vomiting",Paracetamol,Flagyl,100mg,100
Anxiety,"Weight loss, Fever, Shortness of breath, Chest tightness",Paracetamol,Ciplox,1g,200
Anxiety,"Weight loss, Fever, Shortness of breath, Chest tightness",Ciprofloxacin,Brufen,500mg,50
Common Cold,"Cough, Joint pain, Rash, Fever",Paracetamol,Crocin,5mg,150
Common Cold,"Cough, Joint pain, Rash, Fever",Cetirizine,Zinetac,100mg,75
Cholera,"Sweating, Itching, Dizziness, Shortness of breath",Cetirizine,Ciplox,200mg,20
Cholera,"Sweating, Itching, Dizziness, Shortness of breath",Paracetamol,Alerid,100mg,150
Cholera,"Itching, Joint pain, Weight loss, Nausea",Ciprofloxacin,Flagyl,5mg,75
Cholera,"Itching, Joint pain, Weight loss, Nausea",Metronidazole,Claritine,500mg,150
Epilepsy,"Chills, Chest tightness, Joint pain, Headache",Metronidazole,Crocin,250mg,20
Epilepsy,"Chills, Chest tightness, Joint pain, Headache",Paracetamol,Claritine,10mg,150
Common Cold,"Shortness of breath, Sweating, Fever, Rash",Metronidazole,Azithral,250mg,100
Common Cold,"Shortness of breath, Sweating, Fever, Rash",Ciprofloxacin,Alerid,1g,200
Alzheimer's,"Weight loss, Itching, Pain, Fatigue",Metronidazole,Alerid,10mg,30
Alzheimer's,"Weight loss, Itching, Pain, Fatigue",Cetirizine,Azithral,5mg,20
